ticket_id,etiqueta,value,b_1,b_2,b_3,b_4
000001,quantitat_kg,0.705,"(99, 330)","(159, 330)","(99, 350)","(159, 350)"
000001,descripcio,BOLETS SALTATS,"(65, 310)","(265, 310)","(65, 330)","(265, 330)"
000001,preu_unitari,"3,67","(307.5, 330)","(377.5, 330)","(307.5, 350)","(377.5, 350)"
000001,import,"2,59","(430, 330)","(475, 330)","(430, 350)","(475, 350)"
000001,quantitat_kg,0.796,"(99, 370)","(159, 370)","(99, 390)","(159, 390)"
000001,descripcio,FARCIMENT FAJITES,"(65, 350)","(265, 350)","(65, 370)","(265, 370)"
000001,preu_unitari,"4,95","(307.5, 370)","(377.5, 370)","(307.5, 390)","(377.5, 390)"
000001,import,"3,94","(430, 370)","(475, 370)","(430, 390)","(475, 390)"
000001,quantitat_kg,0.605,"(99, 410)","(159, 410)","(99, 430)","(159, 430)"
000001,descripcio,CARXOFA,"(65, 390)","(265, 390)","(65, 410)","(265, 410)"
000001,preu_unitari,"4,50","(307.5, 410)","(377.5, 410)","(307.5, 430)","(377.5, 430)"
000001,import,"2,72","(430, 410)","(475, 410)","(430, 430)","(475, 430)"
000001,quantitat_kg,0.279,"(99, 450)","(159, 450)","(99, 470)","(159, 470)"
000001,descripcio,BRÒCOLI HACENDADO,"(65, 430)","(265, 430)","(65, 450)","(265, 450)"
000001,preu_unitari,"1,55","(307.5, 450)","(377.5, 450)","(307.5, 470)","(377.5, 470)"
000001,import,"0,44","(430, 450)","(475, 450)","(430, 470)","(475, 470)"
000001,total,"9,69","(400, 490)","(475, 490)","(400, 510)","(475, 510)"
000002,quantitat_kg,0.445,"(99, 330)","(159, 330)","(99, 350)","(159, 350)"
000002,descripcio,ESPINAC FULLA,"(65, 310)","(265, 310)","(65, 330)","(265, 330)"
000002,preu_unitari,"1,24","(307.5, 330)","(377.5, 330)","(307.5, 350)","(377.5, 350)"
000002,import,"0,55","(430, 330)","(475, 330)","(430, 350)","(475, 350)"
000002,quantitat_kg,0.598,"(99, 370)","(159, 370)","(99, 390)","(159, 390)"
000002,descripcio,XAMPINYÓ LAMINAT,"(65, 350)","(265, 350)","(65, 370)","(265, 370)"
000002,preu_unitari,"5,20","(307.5, 370)","(377.5, 370)","(307.5, 390)","(377.5, 390)"
