ticket_id,etiqueta,value,b_1,b_2,b_3,b_4
000001,products,,"(25, 310)","(475, 310)","(25, 450)","(475, 450)"
000002,products,,"(25, 310)","(475, 310)","(25, 450)","(475, 450)"
000003,products,,"(25, 310)","(475, 310)","(25, 550)","(475, 550)"
000004,products,,"(25, 310)","(475, 310)","(25, 450)","(475, 450)"
000005,products,,"(25, 310)","(475, 310)","(25, 430)","(475, 430)"
000006,products,,"(25, 310)","(475, 310)","(25, 410)","(475, 410)"
000007,products,,"(25, 310)","(475, 310)","(25, 430)","(475, 430)"
000008,products,,"(25, 310)","(475, 310)","(25, 390)","(475, 390)"
000009,products,,"(25, 310)","(475, 310)","(25, 470)","(475, 470)"
000010,products,,"(25, 310)","(475, 310)","(25, 370)","(475, 370)"
