ticket_id,etiqueta,value,b_1,b_2,b_3,b_4
000001,quantitat_ud,1,"(0, 0)","(40, 0)","(0, 20)","(40, 20)"
000001,descripcio,DESODORANT CURA,"(40, 0)","(240, 0)","(40, 20)","(240, 20)"
000001,import,"1,69","(405, 0)","(450, 0)","(405, 20)","(450, 20)"
000001,quantitat_ud,1,"(0, 20)","(40, 20)","(0, 40)","(40, 40)"
000001,descripcio,ACTIVADOR,"(40, 20)","(240, 20)","(40, 40)","(240, 40)"
000001,import,"2,04","(405, 20)","(450, 20)","(405, 40)","(450, 40)"
000001,quantitat_ud,3,"(0, 40)","(40, 40)","(0, 60)","(40, 60)"
000001,descripcio,MIG CONILL,"(40, 40)","(240, 40)","(40, 60)","(240, 60)"
000001,preu_unitari,"4,03","(282.5, 40)","(352.5, 40)","(282.5, 60)","(352.5, 60)"
000001,import,"12,08","(405, 40)","(450, 40)","(405, 60)","(450, 60)"
000001,quantitat_ud,2,"(0, 60)","(40, 60)","(0, 80)","(40, 80)"
000001,descripcio,CANELONS,"(40, 60)","(240, 60)","(40, 80)","(240, 80)"
000001,preu_unitari,"2,31","(282.5, 60)","(352.5, 60)","(282.5, 80)","(352.5, 80)"
000001,import,"4,62","(405, 60)","(450, 60)","(405, 80)","(450, 80)"
000001,quantitat_ud,1,"(0, 80)","(40, 80)","(0, 100)","(40, 100)"
000001,descripcio,PAPER D'ALUMINI,"(40, 80)","(240, 80)","(40, 100)","(240, 100)"
000001,import,"3,51","(405, 80)","(450, 80)","(405, 100)","(450, 100)"
000001,total,"23,95","(375, 120)","(450, 120)","(375, 140)","(450, 140)"
000002,quantitat_ud,1,"(0, 0)","(40, 0)","(0, 20)","(40, 20)"
000002,descripcio,BLAT MORO DOLÇ,"(40, 0)","(240, 0)","(40, 20)","(240, 20)"
000002,import,"1,26","(405, 0)","(450, 0)","(405, 20)","(450, 20)"
000002,quantitat_ud,4,"(0, 20)","(40, 20)","(0, 40)","(40, 40)"
000002,descripcio,PASTÍS INFANTIL,"(40, 20)","(240, 20)","(40, 40)","(240, 40)"
000002,preu_unitari,"7,70","(282.5, 20)","(352.5, 20)","(282.5, 40)","(352.5, 40)"
000002,import,"30,80","(405, 20)","(450, 20)","(405, 40)","(450, 40)"
000002,quantitat_ud,2,"(0, 40)","(40, 40)","(0, 60)","(40, 60)"
000002,descripcio,PIZZA CAMPEROLA,"(40, 40)","(240, 40)","(40, 60)","(240, 60)"
000002,preu_unitari,"2,20","(282.5, 40)","(352.5, 40)","(282.5, 60)","(352.5, 60)"
000002,import,"4,40","(405, 40)","(450, 40)","(405, 60)","(450, 60)"
000002,quantitat_ud,1,"(0, 60)","(40, 60)","(0, 80)","(40, 80)"
000002,descripcio,ANELLES POTA,"(40, 60)","(240, 60)","(40, 80)","(240, 80)"
000002,import,"4,35","(405, 60)","(450, 60)","(405, 80)","(450, 80)"
000002,quantitat_ud,1,"(0, 80)","(40, 80)","(0, 100)","(40, 100)"
000002,descripcio,LLEIXIU AMB,"(40, 80)","(240, 80)","(40, 100)","(240, 100)"
000002,import,"1,19","(405, 80)","(450, 80)","(405, 100)","(450, 100)"
000002,total,"42,00","(375, 120)","(450, 120)","(375, 140)","(450, 140)"
000003,quantitat_kg,0.998,"(74, 20)","(134, 20)","(74, 40)","(134, 40)"
000003,descripcio,JULIVERT,"(40, 0)","(240, 0)","(40, 20)","(240, 20)"
000003,preu_unitari,"15,98","(282.5, 20)","(352.5, 20)","(282.5, 40)","(352.5, 40)"
000003,import,"15,95","(405, 20)","(450, 20)","(405, 40)","(450, 40)"
000003,quantitat_ud,1,"(0, 40)","(40, 40)","(0, 60)","(40, 60)"
000003,descripcio,LLAMÀNTOL AMERICÀ,"(40, 40)","(240, 40)","(40, 60)","(240, 60)"
000003,import,"14,30","(405, 40)","(450, 40)","(405, 60)","(450, 60)"
000003,quantitat_ud,4,"(0, 60)","(40, 60)","(0, 80)","(40, 80)"
000003,descripcio,GAMBOT CONGELAT,"(40, 60)","(240, 60)","(40, 80)","(240, 80)"
000003,preu_unitari,"6,855,26","(282.5, 60)","(352.5, 60)","(282.5, 80)","(352.5, 80)"
000003,import,"27,421,02","(405, 60)","(450, 60)","(405, 80)","(450, 80)"
000003,quantitat_ud,2,"(0, 80)","(40, 80)","(0, 100)","(40, 100)"
000003,descripcio,COLORACIÓ,"(40, 80)","(240, 80)","(40, 100)","(240, 100)"
000003,preu_unitari,"9,62","(282.5, 80)","(352.5, 80)","(282.5, 100)","(352.5, 100)"
000003,import,"19,24","(405, 80)","(450, 80)","(405, 100)","(450, 100)"
000003,quantitat_kg,0.345,"(74, 120)","(134, 120)","(74, 140)","(134, 140)"
