                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4498,                 1.4232,                 1.1612,                0.94076,                0.08011,                0.10259,                0.08061,                    nan,                    nan,                    nan,              0.0033307,              0.0033307,              0.0033307
                      2,                0.95733,                0.66195,                0.92265,                0.93774,                0.09092,                0.11393,                0.10012,                    nan,                    nan,                    nan,               0.006598,               0.006598,               0.006598
                      3,                0.91587,                0.60245,                0.89294,                0.97345,                0.09101,                0.11241,                0.09822,                    nan,                    nan,                    nan,              0.0097994,              0.0097994,              0.0097994
                      4,                0.79237,                0.51797,                0.86348,                0.98934,                0.09106,                0.11574,                 0.1049,                    nan,                    nan,                    nan,               0.009703,               0.009703,               0.009703
                      5,                 0.6634,                0.43881,                0.84318,                  0.997,                0.09107,                0.11386,                0.10499,                    nan,                    nan,                    nan,               0.009604,               0.009604,               0.009604
                      6,                0.58354,                 0.3949,                0.83026,                0.99919,                0.09107,                 0.1127,                0.10525,                    nan,                    nan,                    nan,               0.009505,               0.009505,               0.009505
                      7,                0.53639,                 0.3642,                0.82249,                 0.9991,                0.09108,                 0.1137,                0.10678,                    nan,                    nan,                    nan,               0.009406,               0.009406,               0.009406
                      8,                0.49892,                0.34166,                0.81726,                0.99949,                0.09108,                 0.1127,                0.10671,                    nan,                    nan,                    nan,               0.009307,               0.009307,               0.009307
                      9,                0.47197,                0.32386,                0.81258,                0.99972,                0.09108,                0.11164,                0.10387,                    nan,                    nan,                    nan,               0.009208,               0.009208,               0.009208
                     10,                  0.445,                 0.3086,                0.80755,                0.99986,                0.09108,                0.11449,                0.10956,                    nan,                    nan,                    nan,               0.009109,               0.009109,               0.009109
                     11,                0.42572,                 0.2959,                0.80504,                 0.9999,                0.09108,                0.11573,                0.10945,                    nan,                    nan,                    nan,                0.00901,                0.00901,                0.00901
                     12,                0.41106,                0.28731,                0.80073,                0.99983,                0.09108,                0.13722,                 0.1313,                    nan,                    nan,                    nan,               0.008911,               0.008911,               0.008911
                     13,                0.39697,                0.27637,                0.79976,                 0.9999,                0.09108,                0.15601,                0.14864,                    nan,                    nan,                    nan,               0.008812,               0.008812,               0.008812
                     14,                0.38378,                0.26945,                0.79745,                0.99952,                0.09108,                0.18766,                0.17793,                    nan,                    nan,                    nan,               0.008713,               0.008713,               0.008713
                     15,                 0.3716,                0.26225,                0.79575,                0.99976,                0.09107,                0.19881,                 0.1895,                    nan,                    nan,                    nan,               0.008614,               0.008614,               0.008614
                     16,                0.36289,                0.25544,                0.79481,                 0.9999,                0.09108,                 0.2152,                0.20491,                    nan,                    nan,                    nan,               0.008515,               0.008515,               0.008515
                     17,                 0.3525,                0.24976,                0.79325,                0.99961,                0.09108,                0.22949,                0.21944,                    nan,                    nan,                    nan,               0.008416,               0.008416,               0.008416
                     18,                0.34484,                0.24354,                0.79339,                0.99968,                0.09108,                0.26358,                0.25333,                    nan,                    nan,                    nan,               0.008317,               0.008317,               0.008317
                     19,                0.33635,                0.23932,                0.79016,                0.99934,                0.09108,                0.26055,                0.24955,                    nan,                    nan,                    nan,               0.008218,               0.008218,               0.008218
                     20,                0.32917,                0.23403,                0.79024,                0.99956,                0.09108,                0.27839,                0.26825,                    nan,                    nan,                    nan,               0.008119,               0.008119,               0.008119
                     21,                0.32376,                0.23023,                0.78936,                0.99936,                0.09108,                0.25796,                0.24838,                    nan,                    nan,                    nan,                0.00802,                0.00802,                0.00802
                     22,                0.31744,                0.22733,                0.78852,                0.99977,                0.09108,                0.27878,                0.26908,                    nan,                    nan,                    nan,               0.007921,               0.007921,               0.007921
                     23,                0.31347,                0.22409,                 0.7876,                 0.9996,                0.09108,                0.32161,                0.30837,                    nan,                    nan,                    nan,               0.007822,               0.007822,               0.007822
                     24,                0.30524,                0.21945,                0.78603,                0.99985,                0.09108,                0.32334,                0.31219,                    nan,                    nan,                    nan,               0.007723,               0.007723,               0.007723
                     25,                0.30274,                0.21653,                0.78629,                0.99982,                0.09107,                0.31802,                0.30758,                    nan,                    nan,                    nan,               0.007624,               0.007624,               0.007624
                     26,                0.29684,                0.21301,                0.78573,                0.99984,                0.09108,                0.30721,                0.29747,                    nan,                    nan,                    nan,               0.007525,               0.007525,               0.007525
                     27,                 0.2924,                0.21094,                0.78462,                0.99982,                0.09108,                0.36223,                0.34894,                    nan,                    nan,                    nan,               0.007426,               0.007426,               0.007426
                     28,                0.28695,                0.20726,                0.78408,                0.99984,                0.09107,                0.35384,                0.34214,                    nan,                    nan,                    nan,               0.007327,               0.007327,               0.007327
                     29,                0.28449,                0.20598,                 0.7835,                0.99982,                0.09107,                0.35828,                0.34761,                    nan,                    nan,                    nan,               0.007228,               0.007228,               0.007228
                     30,                0.28102,                0.20396,                 0.7835,                0.99989,                0.09108,                0.36704,                0.35591,                    nan,                    nan,                    nan,               0.007129,               0.007129,               0.007129
                     31,                 0.2762,                0.20059,                0.78308,                0.99984,                0.09108,                0.38574,                 0.3756,                    nan,                    nan,                    nan,                0.00703,                0.00703,                0.00703
                     32,                0.27326,                0.19869,                0.78395,                0.99991,                0.09108,                0.39386,                0.38259,                    nan,                    nan,                    nan,               0.006931,               0.006931,               0.006931
                     33,                0.27024,                0.19639,                0.78211,                0.99996,                0.09108,                0.39735,                0.38564,                    nan,                    nan,                    nan,               0.006832,               0.006832,               0.006832
                     34,                0.26487,                0.19335,                0.78159,                0.99992,                0.09108,                0.40998,                0.39758,                    nan,                    nan,                    nan,               0.006733,               0.006733,               0.006733
                     35,                0.26106,                0.19076,                0.78135,                0.99991,                0.09108,                0.40426,                0.39201,                    nan,                    nan,                    nan,               0.006634,               0.006634,               0.006634
                     36,                0.25882,                0.18917,                0.78166,                0.99995,                0.09108,                0.42598,                0.41362,                    nan,                    nan,                    nan,               0.006535,               0.006535,               0.006535
                     37,                0.25554,                0.18787,                 0.7808,                0.99995,                0.09108,                0.41165,                0.39871,                    nan,                    nan,                    nan,               0.006436,               0.006436,               0.006436
                     38,                0.25297,                0.18618,                 0.7802,                0.99995,                0.09108,                 0.4198,                0.40755,                    nan,                    nan,                    nan,               0.006337,               0.006337,               0.006337
                     39,                0.24903,                0.18417,                0.77996,                0.99996,                0.09108,                0.42616,                0.41355,                    nan,                    nan,                    nan,               0.006238,               0.006238,               0.006238
                     40,                0.24778,                 0.1823,                 0.7805,                0.99996,                0.09108,                0.42298,                0.41125,                    nan,                    nan,                    nan,               0.006139,               0.006139,               0.006139
                     41,                0.24301,                0.17997,                 0.7797,                0.99996,                0.09108,                0.41062,                 0.4001,                    nan,                    nan,                    nan,                0.00604,                0.00604,                0.00604
                     42,                0.24184,                0.17869,                0.77942,                0.99996,                0.09108,                0.43647,                0.42434,                    nan,                    nan,                    nan,               0.005941,               0.005941,               0.005941
                     43,                 0.2389,                 0.1773,                0.77875,                0.99996,                0.09108,                0.44285,                0.43041,                    nan,                    nan,                    nan,               0.005842,               0.005842,               0.005842
                     44,                0.23538,                0.17607,                0.77864,                0.99995,                0.09108,                0.44576,                0.43319,                    nan,                    nan,                    nan,               0.005743,               0.005743,               0.005743
                     45,                0.23308,                 0.1737,                0.77939,                0.99995,                0.09108,                0.45453,                0.44264,                    nan,                    nan,                    nan,               0.005644,               0.005644,               0.005644
                     46,                0.23022,                 0.1722,                 0.7775,                0.99995,                0.09108,                 0.4435,                0.43198,                    nan,                    nan,                    nan,               0.005545,               0.005545,               0.005545
                     47,                0.22788,                0.17072,                0.77813,                0.99995,                0.09108,                0.45281,                0.44125,                    nan,                    nan,                    nan,               0.005446,               0.005446,               0.005446
                     48,                0.22723,                0.17054,                0.77726,                0.99996,                0.09108,                0.45502,                0.44227,                    nan,                    nan,                    nan,               0.005347,               0.005347,               0.005347
                     49,                  0.224,                0.16829,                0.77712,                0.99995,                0.09108,                0.45669,                0.44609,                    nan,                    nan,                    nan,               0.005248,               0.005248,               0.005248
                     50,                0.22069,                0.16607,                0.77726,                0.99995,                0.09108,                0.45463,                 0.4425,                    nan,                    nan,                    nan,               0.005149,               0.005149,               0.005149
                     51,                0.21816,                0.16449,                0.77672,                0.99995,                0.09108,                0.46259,                 0.4519,                    nan,                    nan,                    nan,                0.00505,                0.00505,                0.00505
                     52,                0.21597,                0.16379,                0.77653,                0.99996,                0.09108,                0.45323,                 0.4428,                    nan,                    nan,                    nan,               0.004951,               0.004951,               0.004951
                     53,                 0.2138,                0.16212,                0.77612,                0.99995,                0.09108,                0.45535,                0.44405,                    nan,                    nan,                    nan,               0.004852,               0.004852,               0.004852
                     54,                0.21055,                0.16032,                0.77559,                0.99995,                0.09108,                0.46108,                0.44934,                    nan,                    nan,                    nan,               0.004753,               0.004753,               0.004753
                     55,                0.21016,                0.15968,                0.77533,                0.99995,                0.09108,                0.46492,                0.45324,                    nan,                    nan,                    nan,               0.004654,               0.004654,               0.004654
                     56,                0.20629,                0.15771,                0.77564,                0.99996,                0.09108,                0.46163,                0.45076,                    nan,                    nan,                    nan,               0.004555,               0.004555,               0.004555
