                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69148,                0.65511,                0.90309,                0.99258,                0.09414,                0.16292,                0.15577,                    nan,                    nan,                    nan,             0.00033324,             0.00033324,             0.00033324
                      2,                0.36909,                0.28776,                0.79537,                0.99925,                0.09416,                0.28444,                0.27812,                    nan,                    nan,                    nan,             0.00060059,             0.00060059,             0.00060059
                      3,                0.34367,                0.25531,                0.78701,                0.99975,                0.09416,                0.36127,                0.35371,                    nan,                    nan,                    nan,             0.00080193,             0.00080193,             0.00080193
                      4,                0.31617,                0.23128,                0.78315,                0.99989,                0.09416,                 0.3795,                0.37214,                    nan,                    nan,                    nan,               0.000703,               0.000703,               0.000703
                      5,                0.29834,                0.21734,                0.78013,                0.99991,                0.09416,                 0.3877,                 0.3816,                    nan,                    nan,                    nan,               0.000604,               0.000604,               0.000604
                      6,                0.26752,                 0.1976,                0.77628,                0.99989,                0.09416,                0.45423,                0.44694,                    nan,                    nan,                    nan,               0.000505,               0.000505,               0.000505
                      7,                0.25109,                0.18538,                0.77446,                0.99993,                0.09416,                0.47086,                0.46339,                    nan,                    nan,                    nan,               0.000406,               0.000406,               0.000406
                      8,                0.23378,                0.17186,                0.77111,                0.99989,                0.09416,                0.45183,                0.44518,                    nan,                    nan,                    nan,               0.000307,               0.000307,               0.000307
                      9,                0.21695,                0.16061,                0.77073,                0.99992,                0.09416,                0.47553,                0.46958,                    nan,                    nan,                    nan,               0.000208,               0.000208,               0.000208
                     10,                0.19509,                0.14639,                0.76787,                 0.9999,                0.09416,                0.49219,                0.48697,                    nan,                    nan,                    nan,               0.000109,               0.000109,               0.000109
