                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3793,                 1.3177,                 1.1172,                0.86174,                0.08757,                  0.116,                0.09956,                    nan,                    nan,                    nan,              0.0003328,              0.0003328,              0.0003328
                      2,                0.61889,                0.50306,                0.85607,                0.95192,                 0.0896,                0.10907,                0.09808,                    nan,                    nan,                    nan,             0.00065294,             0.00065294,             0.00065294
                      3,                0.56385,                 0.4397,                0.83659,                0.98597,                0.08962,                0.13514,                0.12678,                    nan,                    nan,                    nan,             0.00095989,             0.00095989,             0.00095989
                      4,                0.51301,                0.39502,                0.82158,                 0.9965,                0.08963,                0.12282,                0.10861,                    nan,                    nan,                    nan,              0.0009406,              0.0009406,              0.0009406
                      5,                0.47783,                0.36973,                0.82076,                0.99568,                0.08964,                0.16676,                0.15548,                    nan,                    nan,                    nan,              0.0009208,              0.0009208,              0.0009208
                      6,                0.45181,                 0.3507,                0.81643,                0.99952,                0.08963,                0.16658,                0.15966,                    nan,                    nan,                    nan,               0.000901,               0.000901,               0.000901
                      7,                0.41249,                 0.3262,                0.80731,                0.99957,                0.08964,                0.16566,                0.15624,                    nan,                    nan,                    nan,              0.0008812,              0.0008812,              0.0008812
                      8,                0.40183,                0.31599,                 0.8053,                0.99952,                0.08964,                0.19496,                0.18607,                    nan,                    nan,                    nan,              0.0008614,              0.0008614,              0.0008614
                      9,                0.38175,                0.30002,                0.80373,                0.99832,                0.08964,                0.19808,                0.18697,                    nan,                    nan,                    nan,              0.0008416,              0.0008416,              0.0008416
                     10,                0.36344,                 0.2883,                0.79911,                0.99971,                0.08964,                0.22072,                0.21179,                    nan,                    nan,                    nan,              0.0008218,              0.0008218,              0.0008218
                     11,                0.38595,                0.28532,                 0.7967,                0.99957,                0.08964,                0.22613,                0.21743,                    nan,                    nan,                    nan,               0.000802,               0.000802,               0.000802
                     12,                0.37938,                0.28145,                0.79748,                0.99942,                0.08964,                0.23461,                0.22663,                    nan,                    nan,                    nan,              0.0007822,              0.0007822,              0.0007822
                     13,                0.35915,                  0.278,                0.80076,                0.99931,                0.08964,                0.24189,                0.23425,                    nan,                    nan,                    nan,              0.0007624,              0.0007624,              0.0007624
                     14,                0.33735,                0.26339,                0.79292,                 0.9994,                0.08964,                0.22209,                0.21152,                    nan,                    nan,                    nan,              0.0007426,              0.0007426,              0.0007426
                     15,                0.34706,                0.26381,                0.79793,                0.99905,                0.08964,                0.29373,                0.28008,                    nan,                    nan,                    nan,              0.0007228,              0.0007228,              0.0007228
